,날짜,언론사,기사제목,링크
5, 2021.10.19 16:36,매일경제,"중기부, 중기 수출 지원한 HMM에 감사패",https://finance.naver.com/item/news_read.naver?article_id=0004866738&office_id=009&code=011200&page=2&sm=
6, 2021.10.19 11:20,헤럴드경제,"‘물류대란’에도 1600개 中企에 숨통...중기부, HMM에 감사패",https://finance.naver.com/item/news_read.naver?article_id=0001900934&office_id=016&code=011200&page=2&sm=
7, 2021.10.19 06:00,아시아경제,"중기부, 中企 물류 어려움 해소 기여한 HMM에 감사",https://finance.naver.com/item/news_read.naver?article_id=0004985109&office_id=277&code=011200&page=2&sm=
8, 2021.10.19 11:37,한국경제,중소벤처기업부-HMM 수출중소기업 상생협력기념행사,https://finance.naver.com/item/news_read.naver?article_id=0004617813&office_id=015&code=011200&page=2&sm=
9, 2021.10.19 10:56,아시아경제,"HMM,중기부 수출물류지원 감사패…""물류애로 해소 노력 공로""",https://finance.naver.com/item/news_read.naver?article_id=0004985346&office_id=277&code=011200&page=2&sm=
10, 2021.10.19 10:52,이데일리,"HMM, 중기부서 '수출 물류 지원 감사패'",https://finance.naver.com/item/news_read.naver?article_id=0005063626&office_id=018&code=011200&page=2&sm=
11, 2021.10.19 06:46,헤럴드경제,"중기부, 물류대란 와중 중기 수출 지원한 HMM에 감사패",https://finance.naver.com/item/news_read.naver?article_id=0001900685&office_id=016&code=011200&page=2&sm=
12, 2021.10.18 19:44,이데일리,"HMM, 50번째 임시 선박 출항…""물류대란 속 기업 지원""",https://finance.naver.com/item/news_read.naver?article_id=0005063251&office_id=018&code=011200&page=2&sm=
13, 2021.10.18 14:14,서울경제,"HMM, 50번째 임시선박 출항···이달에만 6척 투입",https://finance.naver.com/item/news_read.naver?article_id=0003974364&office_id=011&code=011200&page=2&sm=
14, 2021.10.18 10:40,아시아경제,"HMM, 50번째 임시선박 출항…""수출기업 지원 최선""",https://finance.naver.com/item/news_read.naver?article_id=0004984676&office_id=277&code=011200&page=2&sm=
15, 2021.10.18 10:29,파이낸셜뉴스,HMM 50번째 수출지원 임시선박 출항,https://finance.naver.com/item/news_read.naver?article_id=0004724695&office_id=014&code=011200&page=2&sm=
16, 2021.10.18 10:23,헤럴드경제,"HMM, 수출기업 지원 위해 50번째 임시선박 투입",https://finance.naver.com/item/news_read.naver?article_id=0001900304&office_id=016&code=011200&page=2&sm=
17, 2021.10.15 15:37,이데일리,"""산업은행, HMM 여유자금 2.7조(67%)로 잇속 챙겨""",https://finance.naver.com/item/news_read.naver?article_id=0005061309&office_id=018&code=011200&page=2&sm=
0, 2021.10.14 10:02,조선비즈,"HMM, ‘주주 달래기’ 소식에 이틀 연속 강세",https://finance.naver.com/item/news_read.naver?article_id=0000766484&office_id=366&code=011200&page=3&sm=
1, 2021.10.14 09:17,서울경제,"[특징주] HMM, 이틀 연속 강세...주주 달래기 통했나",https://finance.naver.com/item/news_read.naver?article_id=0003972827&office_id=011&code=011200&page=3&sm=
2, 2021.10.13 19:20,한국경제,"HMM ""배당 등 주주 친화 정책 검토 중""",https://finance.naver.com/item/news_read.naver?article_id=0004615967&office_id=015&code=011200&page=3&sm=
3, 2021.10.13 18:09,서울경제,'주주 달래기' 나선 CEO···HMM 반등할까,https://finance.naver.com/item/news_read.naver?article_id=0003972699&office_id=011&code=011200&page=3&sm=
4, 2021.10.13 18:07,조선비즈,주주 달래기 나선 HMM “배당·영구채 조기상환 검토하겠다”,https://finance.naver.com/item/news_read.naver?article_id=0000766393&office_id=366&code=011200&page=3&sm=
5, 2021.10.13 16:39,아시아경제,"주주 달래기 나선 배재훈 HMM 사장 ""배당·영구채 조기상환 검토""",https://finance.naver.com/item/news_read.naver?article_id=0004982625&office_id=277&code=011200&page=3&sm=
6, 2021.10.13 16:29,매일경제,주주 달래기 나선 HMM…배당·영구채 조기상환 검토,https://finance.naver.com/item/news_read.naver?article_id=0004864270&office_id=009&code=011200&page=3&sm=
7, 2021.10.13 15:28,이데일리,"HMM ""산은, 매각 위해 주가 일부러 낮춘 일 없어…배당 검토""",https://finance.naver.com/item/news_read.naver?article_id=0005059234&office_id=018&code=011200&page=3&sm=
8, 2021.10.13 17:49,매일경제,"포스코, 3분기 3조 '역대 최고'…HMM, 올 영업익 6조 '국내 5...",https://finance.naver.com/item/news_read.naver?article_id=0004864420&office_id=009&code=011200&page=3&sm=
9, 2021.10.11 11:28,이데일리,"HMM, 농식품 中企 위해 호주 노선 선복 우선 제공",https://finance.naver.com/item/news_read.naver?article_id=0005057318&office_id=018&code=011200&page=3&sm=
10, 2021.10.08 13:53,이데일리,"[특징주]HMM, 250억원 규모 외국계 순매도에 ‘약세’",https://finance.naver.com/item/news_read.naver?article_id=0005055345&office_id=018&code=011200&page=3&sm=
11, 2021.10.07 09:45,서울경제,"[특징주] 컨테이너 운임 강세 지속 전망에 HMM, 2.6% ↑",https://finance.naver.com/item/news_read.naver?article_id=0003970360&office_id=011&code=011200&page=3&sm=
12, 2021.10.06 11:19,아시아경제,이달 1兆 판 外人...HMM·SK이노는 담았다,https://finance.naver.com/item/news_read.naver?article_id=0004979102&office_id=277&code=011200&page=3&sm=
13, 2021.10.05 18:42,한국경제,"HMM·팬오션 주가, 연말엔 다른 항로로 가나",https://finance.naver.com/item/news_read.naver?article_id=0004612545&office_id=015&code=011200&page=3&sm=
14, 2021.10.05 15:49,한국경제,"HMM·팬오션 주가, 연말엔 다른 항로로 가나",https://finance.naver.com/item/news_read.naver?article_id=0004612361&office_id=015&code=011200&page=3&sm=
15, 2021.10.05 17:37,이데일리,"증권가, HMM 목표가 내리면서 “극도의 저평가”…?미",https://finance.naver.com/item/news_read.naver?article_id=0005052580&office_id=018&code=011200&page=3&sm=
16, 2021.10.05 08:18,이데일리,"HMM, 중국 전력난 영향 등에 목표가↓…하지만 `저평가` -대신",https://finance.naver.com/item/news_read.naver?article_id=0005051787&office_id=018&code=011200&page=3&sm=
17, 2021.10.05 07:27,파이낸셜뉴스,"HMM, 목표주가 6만→4.8만-대신",https://finance.naver.com/item/news_read.naver?article_id=0004718038&office_id=014&code=011200&page=3&sm=
18, 2021.10.05 08:13,한국경제,"""HMM, 中 전력난으로 인한 교역량 둔화 가능성에 목표가↓""-대신",https://finance.naver.com/item/news_read.naver?article_id=0004612072&office_id=015&code=011200&page=3&sm=
0, 2021.10.05 07:53,서울경제,"""中전력난·인플레 압력 심화"" HMM, 목표가 6만원→4.8만원↓",https://finance.naver.com/item/news_read.naver?article_id=0003969125&office_id=011&code=011200&page=4&sm=
1, 2021.09.30 17:34,이데일리,친환경 선박 전환에 앞장 선 HMM '이달의 한국판뉴딜' 선정,https://finance.naver.com/item/news_read.naver?article_id=0005048653&office_id=018&code=011200&page=4&sm=
2, 2021.09.30 17:30,머니투데이,HMM '이달의 한국판뉴딜' 선정…친환경 정책 추진 공로,https://finance.naver.com/item/news_read.naver?article_id=0004651103&office_id=008&code=011200&page=4&sm=
3, 2021.09.30 17:22,조선비즈,"‘탄소감축’ HMM, 이달의 한국판 뉴딜 선정",https://finance.naver.com/item/news_read.naver?article_id=0000763971&office_id=366&code=011200&page=4&sm=
4, 2021.09.30 17:10,헤럴드경제,"HMM, ‘이달의 한국판뉴딜’ 선정",https://finance.naver.com/item/news_read.naver?article_id=0001893803&office_id=016&code=011200&page=4&sm=
5, 2021.09.30 17:07,아시아경제,"HMM, '이달의 한국판뉴딜' 선정…친환경 모빌리티 전환 공로",https://finance.naver.com/item/news_read.naver?article_id=0004976775&office_id=277&code=011200&page=4&sm=
6, 2021.09.29 17:21,이코노미스트,[증시이슈] 자꾸 흐르는 ‘흠슬라’…HMM 3.5% 하락 마감,https://finance.naver.com/item/news_read.naver?article_id=0000016679&office_id=243&code=011200&page=4&sm=
7, 2021.09.29 16:25,이데일리,"문성혁 해수부 장관, HMM 노사 대표 만난다",https://finance.naver.com/item/news_read.naver?article_id=0005047580&office_id=018&code=011200&page=4&sm=
8, 2021.09.29 15:52,서울경제,"문성혁 해수부 장관, 30일 HMM 노사 대표 만난다",https://finance.naver.com/item/news_read.naver?article_id=0003967436&office_id=011&code=011200&page=4&sm=
9, 2021.09.28 09:18,한국경제,한 때 '흠슬라'였는데…HMM 고점에 물린 개미에 기회 올까,https://finance.naver.com/item/news_read.naver?article_id=0004609203&office_id=015&code=011200&page=4&sm=
10, 2021.09.27 11:22,머니투데이,해운운임 연일 고공행진…팬오션·HMM 반등 나설까,https://finance.naver.com/item/news_read.naver?article_id=0004649113&office_id=008&code=011200&page=4&sm=
11, 2021.09.26 18:05,서울경제,효성첨단소재·HMM·엘앤에프···25개株 '꿈의 10루타' 때렸다,https://finance.naver.com/item/news_read.naver?article_id=0003965969&office_id=011&code=011200&page=4&sm=
12, 2021.09.23 11:45,이코노미스트,"영업익 6조 넘보는 HMM, 초대형선 '만선'행렬로 새 기록 써",https://finance.naver.com/item/news_read.naver?article_id=0000016466&office_id=243&code=011200&page=4&sm=
13, 2021.09.22 20:02,머니투데이,HMM 초대형 화물선 20척이 실어 나른 컨테이너박스 길이는?,https://finance.naver.com/item/news_read.naver?article_id=0004647652&office_id=008&code=011200&page=4&sm=
14, 2021.09.22 19:13,파이낸셜뉴스,HMM 세계 최대 컨선 12척 운송량 100만TEU 돌파,https://finance.naver.com/item/news_read.naver?article_id=0004712326&office_id=014&code=011200&page=4&sm=
15, 2021.09.22 16:30,한국경제,HMM 누적 운송량 100만TEU 돌파,https://finance.naver.com/item/news_read.naver?article_id=0004607054&office_id=015&code=011200&page=4&sm=
16, 2021.09.22 13:27,한국경제,"HMM, 2만4000TEU급 초대형 컨테이너선으로 100만TEU 날랐...",https://finance.naver.com/item/news_read.naver?article_id=0004606991&office_id=015&code=011200&page=4&sm=
17, 2021.09.22 11:08,헤럴드경제,"HMM, 2만4000TEU급 12척 누적 운송량…100만TEU 달성",https://finance.naver.com/item/news_read.naver?article_id=0001890063&office_id=016&code=011200&page=4&sm=
18, 2021.09.22 10:48,파이낸셜뉴스,"HMM, 세계 최대 컨선 12척 누적 운송량 '100만TEU' 달성",https://finance.naver.com/item/news_read.naver?article_id=0004712096&office_id=014&code=011200&page=4&sm=
19, 2021.09.22 10:37,아시아경제,"HMM, 2만4000TEU급 누적 운송량 ""100만TEU"" 달성",https://finance.naver.com/item/news_read.naver?article_id=0004972405&office_id=277&code=011200&page=4&sm=
20, 2021.09.22 10:31,이데일리,"HMM 세계 최대 컨테이너선 12척, 누적 운송량 100만TEU 달성",https://finance.naver.com/item/news_read.naver?article_id=0005042366&office_id=018&code=011200&page=4&sm=
21, 2021.09.22 12:00,서울경제,"HMM, 세계 최대 컨테이너선 누적 운송량 100만 TEU 넘겨",https://finance.naver.com/item/news_read.naver?article_id=0003964691&office_id=011&code=011200&page=4&sm=
0, 2021.09.21 15:41,아시아경제,"HMM, 高운임 힘입어…높아지는 3분기 사상 최대실적 기대감",https://finance.naver.com/item/news_read.naver?article_id=0004972237&office_id=277&code=011200&page=5&sm=
1, 2021.09.15 06:01,조선비즈,"産銀 회장 “적자 가능성”, 시장은 “兆단위 흑자”… HMM 전망 극과...",https://finance.naver.com/item/news_read.naver?article_id=0000761211&office_id=366&code=011200&page=5&sm=
2, 2021.09.13 17:19,머니투데이,"이동걸 ""여건 조성되면 HMM 지분, 점진적 매각""",https://finance.naver.com/item/news_read.naver?article_id=0004644550&office_id=008&code=011200&page=5&sm=
3, 2021.09.13 17:01,이데일리,"이동걸 회장, HMM 지분 단계적 매각방침 언급",https://finance.naver.com/item/news_read.naver?article_id=0005036551&office_id=018&code=011200&page=5&sm=
4, 2021.09.13 17:01,이데일리,"이동걸 산업은행 회장 ""HMM, 구조조정 되면 매각""",https://finance.naver.com/item/news_read.naver?article_id=0005036548&office_id=018&code=011200&page=5&sm=
5, 2021.09.13 09:20,서울경제,"체질 개선한 HMM, 컨테이너 시황 상승에 실적도 ↑-메리츠증권",https://finance.naver.com/item/news_read.naver?article_id=0003961731&office_id=011&code=011200&page=5&sm=
6, 2021.09.11 13:51,헤럴드경제,"정부, 9월 10척 이상 임시선박 투입…HMM 정상화로 한시름 놓은 물...",https://finance.naver.com/item/news_read.naver?article_id=0001886362&office_id=016&code=011200&page=5&sm=
7, 2021.09.07 15:07,이데일리,"HMM, 9월에만 임시선박 9척 투입…""국내기업 수출 지원""",https://finance.naver.com/item/news_read.naver?article_id=0005031248&office_id=018&code=011200&page=5&sm=
8, 2021.09.07 11:14,머니투데이,中企수출 지원에 42번째 임시선박 띄운 HMM..호주도 첫 투입,https://finance.naver.com/item/news_read.naver?article_id=0004641751&office_id=008&code=011200&page=5&sm=
9, 2021.09.07 11:07,조선비즈,"HMM, 9월에만 임시선박 9척 투입… 역대 최대",https://finance.naver.com/item/news_read.naver?article_id=0000759685&office_id=366&code=011200&page=5&sm=
10, 2021.09.07 11:07,헤럴드경제,"HMM, 이달 총 9척 임시 선박 투입",https://finance.naver.com/item/news_read.naver?article_id=0001884352&office_id=016&code=011200&page=5&sm=
11, 2021.09.07 10:58,아시아경제,"임단협 끝낸 HMM, 42번째 임시선박 출항…""수출 지원 최선""",https://finance.naver.com/item/news_read.naver?article_id=0004965435&office_id=277&code=011200&page=5&sm=
12, 2021.09.07 04:02,머니투데이,'정상화 노선' 탄 HMM…깊어지는 '3.3조 영구채 상환' 고민,https://finance.naver.com/item/news_read.naver?article_id=0004641530&office_id=008&code=011200&page=5&sm=
13, 2021.09.05 12:13,서울경제,[시그널] HMM 없어도 현대LNG해운 뜬다,https://finance.naver.com/item/news_read.naver?article_id=0003958612&office_id=011&code=011200&page=5&sm=
14, 2021.09.03 16:47,이데일리,"파업 위기 넘긴 HMM, 악재 다 털었나",https://finance.naver.com/item/news_read.naver?article_id=0005027738&office_id=018&code=011200&page=5&sm=
0, 2021.09.03 09:03,이데일리,"HMM, 시황 강세 전망에도 주식전환 가능성 부담 -삼성",https://finance.naver.com/item/news_read.naver?article_id=0005026939&office_id=018&code=011200&page=6&sm=
1, 2021.09.03 04:50,머니투데이,'77일' 채운 마지막 '19시간'..HMM 노사 극적타결 막전막후,https://finance.naver.com/item/news_read.naver?article_id=0004640269&office_id=008&code=011200&page=6&sm=
2, 2021.09.02 18:29,이데일리,HMM “협상 장기화로 심려 끼쳐 송구…국가경제 기여할 것“,https://finance.naver.com/item/news_read.naver?article_id=0005026715&office_id=018&code=011200&page=6&sm=
3, 2021.09.02 17:13,머니투데이,"HMM ""물류대란 우려 국민들께 송구…국가경제 기여하는 회사 거듭날 ...",https://finance.naver.com/item/news_read.naver?article_id=0004640163&office_id=008&code=011200&page=6&sm=
4, 2021.09.02 18:25,파이낸셜뉴스,"HMM, 77일만에 임단협 타결…물류대란 한숨 돌려",https://finance.naver.com/item/news_read.naver?article_id=0004702675&office_id=014&code=011200&page=6&sm=
5, 2021.09.02 17:54,한국경제,HMM 임단협 극적 타결…해운 대란은 겨우 피했다,https://finance.naver.com/item/news_read.naver?article_id=0004599681&office_id=015&code=011200&page=6&sm=
6, 2021.09.02 17:50,매일경제,HMM 임단협 '극적 타결'…물류대란 피했다,https://finance.naver.com/item/news_read.naver?article_id=0004846945&office_id=009&code=011200&page=6&sm=
7, 2021.09.02 09:50,파이낸셜뉴스,"HMM, 77일만에 임단협 타결...물류대란 한숨 돌려",https://finance.naver.com/item/news_read.naver?article_id=0004702233&office_id=014&code=011200&page=6&sm=
8, 2021.09.02 17:47,이데일리,HMM 임금협상 타결…산은 “해운물류 주축 역할 기대”,https://finance.naver.com/item/news_read.naver?article_id=0005026677&office_id=018&code=011200&page=6&sm=
9, 2021.09.02 16:11,이데일리,무역협회 “HMM 임단협 타결 환영…수출 기업 불안감 덜어”,https://finance.naver.com/item/news_read.naver?article_id=0005026538&office_id=018&code=011200&page=6&sm=
10, 2021.09.02 15:04,아시아경제,"무역협회 ""HMM 노사 임단협 타결, 크게 환영""",https://finance.naver.com/item/news_read.naver?article_id=0004963441&office_id=277&code=011200&page=6&sm=
11, 2021.09.02 16:09,이데일리,"HMM 노사, 임단협 77일만에 타결…물류대란 우려 해소",https://finance.naver.com/item/news_read.naver?article_id=0005026534&office_id=018&code=011200&page=6&sm=
12, 2021.09.02 10:15,비즈니스워치,해운대란 막았다…HMM 임단협 '극적 타결',https://finance.naver.com/item/news_read.naver?article_id=0000003458&office_id=648&code=011200&page=6&sm=
13, 2021.09.02 09:09,아시아경제,"HMM 노사, 임금인상 7.9%, 격려·장려금 650% 타결(상보)",https://finance.naver.com/item/news_read.naver?article_id=0004963020&office_id=277&code=011200&page=6&sm=
14, 2021.09.02 09:01,서울경제,"HMM 노사, 마라톤 협상 끝에 임단협 타결···임금 7.9% 인상",https://finance.naver.com/item/news_read.naver?article_id=0003957548&office_id=011&code=011200&page=6&sm=
15, 2021.09.02 15:39,이데일리,HMM 노조 “국가경제 위해 합의한 것…임금 정상화 논의해야”,https://finance.naver.com/item/news_read.naver?article_id=0005026493&office_id=018&code=011200&page=6&sm=
16, 2021.09.02 14:47,비즈니스워치,'한숨돌린 해운대란'...HMM 임단협 극적 타결,https://finance.naver.com/item/news_read.naver?article_id=0000003467&office_id=648&code=011200&page=6&sm=
17, 2021.09.02 09:32,한국경제,"HMM, 임단협 극적 타결 소식에 강세",https://finance.naver.com/item/news_read.naver?article_id=0004599044&office_id=015&code=011200&page=6&sm=
18, 2021.09.02 14:44,서울경제,"HMM 노사, 밤샘 협상 끝에 임단협 극적 타결···갈등 불씨는 여전",https://finance.naver.com/item/news_read.naver?article_id=0003957814&office_id=011&code=011200&page=6&sm=
19, 2021.09.02 08:39,머니투데이,"파업이냐, 극적 타결이냐…HMM 노사 밤샘협상에도 진통",https://finance.naver.com/item/news_read.naver?article_id=0004639739&office_id=008&code=011200&page=6&sm=
0, 2021.09.02 14:01,머니투데이,"HMM 노조 ""韓 경제 위해 대승적 결단…임금 정상화 없으면 파업""",https://finance.naver.com/item/news_read.naver?article_id=0004639982&office_id=008&code=011200&page=7&sm=
1, 2021.09.02 13:00,아시아경제,"HMM 노사, 임단협 77일만 극적 타결…물류대란 피했다(종합2보)",https://finance.naver.com/item/news_read.naver?article_id=0004963324&office_id=277&code=011200&page=7&sm=
2, 2021.09.02 11:06,헤럴드경제,"HMM 노사, 77일만 임금협상 타결...수출기업 물류대란 가까스로 ...",https://finance.naver.com/item/news_read.naver?article_id=0001882478&office_id=016&code=011200&page=7&sm=
3, 2021.09.02 10:23,아시아경제,"HMM 노사, 임금협상 77일만 극적 타결…물류대란 피했다(종합)",https://finance.naver.com/item/news_read.naver?article_id=0004963123&office_id=277&code=011200&page=7&sm=
4, 2021.09.02 09:46,헤럴드경제,"HMM 노사, 77일만 임금협상 극적 타결…수출 물류대란 피했다",https://finance.naver.com/item/news_read.naver?article_id=0001882334&office_id=016&code=011200&page=7&sm=
5, 2021.09.02 09:42,머니투데이,"""물류대란 막자""..HMM 노사 협상개시 77일만에 최종타결",https://finance.naver.com/item/news_read.naver?article_id=0004639789&office_id=008&code=011200&page=7&sm=
6, 2021.09.02 09:11,조선비즈,HMM 파업 피했다… 노사 ‘밤샘교섭’ 끝에 극적 타결(종합),https://finance.naver.com/item/news_read.naver?article_id=0000758606&office_id=366&code=011200&page=7&sm=
7, 2021.09.02 09:02,이데일리,HMM 노사 극적 합의…'임금 7.9%·격려금 650%',https://finance.naver.com/item/news_read.naver?article_id=0005025947&office_id=018&code=011200&page=7&sm=
8, 2021.09.02 11:29,매경이코노미,노사협상 극적 타결...악재 걷힌 HMM 주가 살아날까,https://finance.naver.com/item/news_read.naver?article_id=0000070368&office_id=024&code=011200&page=7&sm=
9, 2021.09.02 09:31,매일경제,"파업 위기 극적으로 넘겼지만…'흠슬라' HMM, 주가는 덤덤",https://finance.naver.com/item/news_read.naver?article_id=0004846541&office_id=009&code=011200&page=7&sm=
10, 2021.09.02 09:24,매일경제,"HMM 노사, 밤샘 협상 끝에 임단협 '극적 타결'",https://finance.naver.com/item/news_read.naver?article_id=0004846537&office_id=009&code=011200&page=7&sm=
11, 2021.09.02 08:59,머니투데이,HMM 노사협상 19시간만에 극적타결..임금 7.9% 인상(2보),https://finance.naver.com/item/news_read.naver?article_id=0004639754&office_id=008&code=011200&page=7&sm=
12, 2021.09.02 09:16,파이낸셜뉴스,(2보)HMM 노조 임단협 타결...임금인상 7.9% 격려금 650% ...,https://finance.naver.com/item/news_read.naver?article_id=0004702186&office_id=014&code=011200&page=7&sm=
13, 2021.09.02 08:44,이데일리,"HMM 노사, 밤샘 협상 끝에 임단협 '극적 타결'",https://finance.naver.com/item/news_read.naver?article_id=0005025912&office_id=018&code=011200&page=7&sm=
14, 2021.09.02 08:04,이데일리,"HMM 노사, 밤샘 협상…극적 타결 가능할까",https://finance.naver.com/item/news_read.naver?article_id=0005025870&office_id=018&code=011200&page=7&sm=
15, 2021.09.02 00:24,머니투데이,"HMM 노사, 자정 넘겨 협상 계속 진행(2보)",https://finance.naver.com/item/news_read.naver?article_id=0004639644&office_id=008&code=011200&page=7&sm=
16, 2021.09.01 23:49,이데일리,결론 없이 끝난 HMM 노사 협상 …2일 재협상,https://finance.naver.com/item/news_read.naver?article_id=0005025768&office_id=018&code=011200&page=7&sm=
17, 2021.09.01 08:28,아시아경제,"HMM 노사, 1일 막판 협상 진행…파업 분수령",https://finance.naver.com/item/news_read.naver?article_id=0004962267&office_id=277&code=011200&page=7&sm=
